order_id,item_id,quantity,price,order_timestamp,corrupted_flag
ORD-101,PROD-004A,2,$49.99, 2025-11-23 14:30:15 PST,N
ORD-102,PROD-002B,1,$15.50, 2025-11-23 09:12:45 PST,N
ORD-103,PROD-003C,3,$120.00, 2025-11-23 11:05:30 PST,N
ORD-104,PROD-005D,5,$9.99, 2025-11-23 16:45:00 PST,N
ORD-105,PROD-006E,2,$199.95, 2025-11-23 08:20:10 PST,N
ORD-106,PROD-007F,1,$75.00, 2025-11-23 10:00:00 PST,Y
ORD-107,PROD-008G,4,$12.49, 2025-11-23 13:15:25 PST,N
ORD-108,PROD-009H,2,$250.00, 2025-11-23 14:00:00 PST,Y
ORD-109,PROD-010I,1,$5.99, 2025-11-23 09:45:00 PST,N
ORD-110,PROD-011J,6,$35.00, 2025-11-23 12:30:00 PST,N
ORD-111,PROD-012K,2,$89.99, 2025-11-23 15:00:00 PST,N
ORD-112,PROD-013L,1,$49.50, 2025-11-23 18:20:00 PST,N
ORD-113,PROD-014M,3,$29.99, 2025-11-23 10:10:00 PST,N
ORD-114,PROD-015N,2,$150.00, 2025-11-23 11:45:00 PST,N
ORD-115,PROD-016O,1,$19.99, 2025-11-23 08:00:00 PST,Y
ORD-116,PROD-017P,4,$60.00, 2025-11-23 09:30:00 PST,N
ORD-117,PROD-018Q,2,$75.25, 2025-11-23 14:00:00 PST,N
ORD-118,PROD-019R,1,$300.00, 2025-11-23 16:00:00 PST,N
ORD-119,PROD-020S,5,$8.99, 2025-11-23 12:00:00 PST,N
ORD-120,PROD-021T,2,$45.00, 2025-11-23 13:30:00 PST,Y
